,KiraKira,Heart,Notes,Fire,Central line,Rain,Thunder,Lens flare,Comicalize,Blur,Change contrast,Zoom in,Zoom out
laughing,0.8745642900466919,0,0,0,0,0,0,0,0,0,0,0,0
bar,0.8622599840164185,0,0,0,0,0,0,0,0,0,0,0,0
waiter,0.8594816327095032,0,0,0,0,0,0,0,0,0,0,0,0
coffee,0.8399515151977539,0,0,0,0,0,0,0,0,0,0,0,0
service,0.8324369788169861,0,0,0,0,0,0,0,0,0,0,0,0
wine bottle,0.8254771828651428,0,0,0,0,0,0,0,0,0,0,0,0
cafeteria,0.8239831328392029,0,0,0,0,0,0,0,0,0,0,0,0
wineglass,0.7962092757225037,0,0,0,0,0,0,0,0,0,0,0,0
generous,0.7912941575050354,0,0,0,0,0,0,0,0,0,0,0,0
lunch,0.7910877466201782,0,0,0,0,0,0,0,0,0,0,0,0
furniture,0.7712365388870239,0,0,0,0,0,0,0,0,0,0,0,0
alcohol,0.765659511089325,0,0,0,0,0,0,0,0,0,0,0,0
place setting,0.7399726510047913,0,0,0,0,0,0,0,0,0,0,0,0
food,0.7186331748962402,0,0,0,0,0,0,0,0,0,0,0,0
red wine,0.7121942043304443,0,0,0,0,0,0,0,0,0,0,0,0
diner,0.6839809417724609,0,0,0,0,0,0,0,0,0,0,0,0
variation,0.6816941499710083,0,0,0,0,0,0,0,0,0,0,0,0
guest,0.6762912273406982,0,0,0,0,0,0,0,0,0,0,0,0
toast,0.6596314311027527,0,0,0,0,0,0,0,0,0,0,0,0
cooking,0.6422790288925171,0,0,0,0,0,0,0,0,0,0,0,0
banquet,0.6315666437149048,0,0,0,0,0,0,0,0,0,0,0,0
beer,0.6304017305374146,0,0,0,0,0,0,0,0,0,0,0,0
dining room,0.6182272434234619,0,0,0,0,0,0,0,0,0,0,0,0
four,0.6181433796882629,0,0,0,0,0,0,0,0,0,0,0,0
champagne,0.6159627437591553,0,0,0,0,0,0,0,0,0,0,0,0
looking,0.6112922430038452,0,0,0,0,0,0,0,0,0,0,0,0
offspring,0.6088537573814392,0,0,0,0,0,0,0,0,0,0,0,0
bonding,0.6036428809165955,0,0,0,0,0,0,0,0,0,0,0,0
dairy product,0.5987789034843445,0,0,0,0,0,0,0,0,0,0,0,0
couple,0.5947681069374084,0,0,0,0,0,0,0,0,0,0,0,0
room,0.5845914483070374,0,0,0,0,0,0,0,0,0,0,0,0
sell,0.5599272847175598,0,0,0,0,0,0,0,0,0,0,0,0
waitress,0.5484328269958496,0,0,0,0,0,0,0,0,0,0,0,0
sitting,0.5416670441627502,0,0,0,0,0,0,0,0,0,0,0,0
meeting,0.5378933548927307,0,0,0,0,0,0,0,0,0,0,0,0
refreshment,0.5349518060684204,0,0,0,0,0,0,0,0,0,0,0,0
satisfaction,0.5349183678627014,0,0,0,0,0,0,0,0,0,0,0,0
flatware,0.5300005674362183,0,0,0,0,0,0,0,0,0,0,0,0
unity,0.5268481969833374,0,0,0,0,0,0,0,0,0,0,0,0
helping,0.518998920917511,0,0,0,0,0,0,0,0,0,0,0,0
picnic,0.514959990978241,0,0,0,0,0,0,0,0,0,0,0,0
side view,0.5082223415374756,0,0,0,0,0,0,0,0,0,0,0,0
merchandise,0.5040554404258728,0,0,0,0,0,0,0,0,0,0,0,0
buffet,0.49433255195617676,0,0,0,0,0,0,0,0,0,0,0,0
glass,0.48338583111763,0,0,0,0,0,0,0,0,0,0,0,0
conversation,0.47857779264450073,0,0,0,0,0,0,0,0,0,0,0,0
candle,0.4742136001586914,0,0,0,0,0,0,0,0,0,0,0,0
shopping,0.4714183807373047,0,0,0,0,0,0,0,0,0,0,0,0
cup,0.47037816047668457,0,0,0,0,0,0,0,0,0,0,0,0
several,0.45705702900886536,0,0,0,0,0,0,0,0,0,0,0,0
sharing,0.4538480043411255,0,0,0,0,0,0,0,0,0,0,0,0
two,0.44695669412612915,0,0,0,0,0,0,0,0,0,0,0,0
communication,0.4466850757598877,0,0,0,0,0,0,0,0,0,0,0,0
flirt,0.42490798234939575,0,0,0,0,0,0,0,0,0,0,0,0
parent,0.4206807613372803,0,0,0,0,0,0,0,0,0,0,0,0
hungry,0.41745418310165405,0,0,0,0,0,0,0,0,0,0,0,0
order,0.4109634459018707,0,0,0,0,0,0,0,0,0,0,0,0
canteen,0.40059253573417664,0,0,0,0,0,0,0,0,0,0,0,0
indulgence,0.3985552191734314,0,0,0,0,0,0,0,0,0,0,0,0
assemble,0.3983329236507416,0,0,0,0,0,0,0,0,0,0,0,0
connection,0.3972457945346832,0,0,0,0,0,0,0,0,0,0,0,0
gift to,0.3914623260498047,0,0,0,0,0,0,0,0,0,0,0,0
meet,0.38894224166870117,0,0,0,0,0,0,0,0,0,0,0,0
dinner,0.3774649500846863,0,0,0,0,0,0,0,0,0,0,0,0
three,0.3736390471458435,0,0,0,0,0,0,0,0,0,0,0,0
cooperation,0.3728225529193878,0,0,0,0,0,0,0,0,0,0,0,0
bottle,0.3684343695640564,0,0,0,0,0,0,0,0,0,0,0,0
patio,0.36170947551727295,0,0,0,0,0,0,0,0,0,0,0,0
preparation,0.35960596799850464,0,0,0,0,0,0,0,0,0,0,0,0
five,0.35602736473083496,0,0,0,0,0,0,0,0,0,0,0,0
cake,0.35275304317474365,0,0,0,0,0,0,0,0,0,0,0,0
business,0.3480643033981323,0,0,0,0,0,0,0,0,0,0,0,0
pub,0.33879590034484863,0,0,0,0,0,0,0,0,0,0,0,0
nightlife,0.3356507122516632,0,0,0,0,0,0,0,0,0,0,0,0
table knife,0.330655962228775,0,0,0,0,0,0,0,0,0,0,0,0
coffee cup,0.31990954279899597,0,0,0,0,0,0,0,0,0,0,0,0
option,0.3053249716758728,0,0,0,0,0,0,0,0,0,0,0,0
casual,0.3037899434566498,0,0,0,0,0,0,0,0,0,0,0,0
tea,0.3024642765522003,0,0,0,0,0,0,0,0,0,0,0,0
plate,0.3015115261077881,0,0,0,0,0,0,0,0,0,0,0,0
shop,0.29915812611579895,0,0,0,0,0,0,0,0,0,0,0,0
spirituality,0.2982177138328552,0,0,0,0,0,0,0,0,0,0,0,0
cocktail,0.2970631718635559,0,0,0,0,0,0,0,0,0,0,0,0
voice,0.297021746635437,0,0,0,0,0,0,0,0,0,0,0,0
window,0.2957552969455719,0,0,0,0,0,0,0,0,0,0,0,0
employee,0.2899376153945923,0,0,0,0,0,0,0,0,0,0,0,0
wedding,0.2891917824745178,0,0,0,0,0,0,0,0,0,0,0,0
vertical,0.28723856806755066,0,0,0,0,0,0,0,0,0,0,0,0
series,0.28622955083847046,0,0,0,0,0,0,0,0,0,0,0,0
adulation,0.28560101985931396,0,0,0,0,0,0,0,0,0,0,0,0
market,0.2823958992958069,0,0,0,0,0,0,0,0,0,0,0,0
owner (law),0.2803286910057068,0,0,0,0,0,0,0,0,0,0,0,0
basket,0.27908027172088623,0,0,0,0,0,0,0,0,0,0,0,0
light,0.27802562713623047,0,0,0,0,0,0,0,0,0,0,0,0
stock,0.27366548776626587,0,0,0,0,0,0,0,0,0,0,0,0
beer bottle,0.27331462502479553,0,0,0,0,0,0,0,0,0,0,0,0
barbecue,0.27132493257522583,0,0,0,0,0,0,0,0,0,0,0,0
chef,0.27098530530929565,0,0,0,0,0,0,0,0,0,0,0,0
popularity,0.2689180374145508,0,0,0,0,0,0,0,0,0,0,0,0
tablecloth,0.2577984631061554,0,0,0,0,0,0,0,0,0,0,0,0
breakfast,0.2562576234340668,0,0,0,0,0,0,0,0,0,0,0,0
birthday cake,0.2549248933792114,0,0,0,0,0,0,0,0,0,0,0,0
counter,0.24982964992523193,0,0,0,0,0,0,0,0,0,0,0,0
break,0.24768754839897156,0,0,0,0,0,0,0,0,0,0,0,0
cookout,0.24589639902114868,0,0,0,0,0,0,0,0,0,0,0,0
Christmas,0.2456778883934021,0,0,0,0,0,0,0,0,0,0,0,0
tableware,0.2455660104751587,0,0,0,0,0,0,0,0,0,0,0,0
technology,0.24531638622283936,0,0,0,0,0,0,0,0,0,0,0,0
success,0.24509131908416748,0,0,0,0,0,0,0,0,0,0,0,0
discussion,0.24131923913955688,0,0,0,0,0,0,0,0,0,0,0,0
glass items,0.23350051045417786,0,0,0,0,0,0,0,0,0,0,0,0
alfresco,0.23262479901313782,0,0,0,0,0,0,0,0,0,0,0,0
confidence,0.23219037055969238,0,0,0,0,0,0,0,0,0,0,0,0
skill,0.23137429356575012,0,0,0,0,0,0,0,0,0,0,0,0
ecstatic,0.22857549786567688,0,0,0,0,0,0,0,0,0,0,0,0
partnership,0.2268349826335907,0,0,0,0,0,0,0,0,0,0,0,0
industry,0.22322463989257812,0,0,0,0,0,0,0,0,0,0,0,0
bartender,0.21952158212661743,0,0,0,0,0,0,0,0,0,0,0,0
chess,0.21433469653129578,0,0,0,0,0,0,0,0,0,0,0,0
content,0.21379530429840088,0,0,0,0,0,0,0,0,0,0,0,0
board game,0.21177801489830017,0,0,0,0,0,0,0,0,0,0,0,0
relationship,0.20743602514266968,0,0,0,0,0,0,0,0,0,0,0,0
clap,0.20700854063034058,0,0,0,0,0,0,0,0,0,0,0,0
telephone,0.20468288660049438,0,0,0,0,0,0,0,0,0,0,0,0
bowl,0.20105072855949402,0,0,0,0,0,0,0,0,0,0,0,0
concentration,0.20080846548080444,0,0,0,0,0,0,0,0,0,0,0,0
decoration,0.18795889616012573,0,0,0,0,0,0,0,0,0,0,0,0
